"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","population","TE","BH","signif"
"BEL-1_DAN-LTR",1.37772025626521,0.0110615490576396,0.0635356770954607,0.174099806019536,0.861787025645885,0.999945529425441,"chicharo vs makindu","BEL-1_DAN-LTR",0.999945529425441,FALSE
"BEL-1_DBI-I",24.1211023904256,0.00963217462185526,0.109356713817288,0.0880803225117811,0.929812835946557,0.999945529425441,"chicharo vs makindu","BEL-1_DBI-I",0.999945529425441,FALSE
"BEL-1_DBP-I",184.498321065149,0.00787665732908079,0.11194888033461,0.0703594114165128,0.943907596147074,0.999945529425441,"chicharo vs makindu","BEL-1_DBP-I",0.999945529425441,FALSE
"BEL-1_DBP-LTR",1.37772025626521,0.0110615490576396,0.0635356770954607,0.174099806019536,0.861787025645885,0.999945529425441,"chicharo vs makindu","BEL-1_DBP-LTR",0.999945529425441,FALSE
"BEL-1_DEL-I",329.450611125893,-0.000945258505915277,0.115064509220513,-0.00821503096236003,0.993445427353148,0.999945529425441,"chicharo vs makindu","BEL-1_DEL-I",0.999945529425441,FALSE
"BEL-1_DERE-I",31.6453753857243,-0.0399117402986455,0.109818040736231,-0.36343518816283,0.716279819828011,0.999945529425441,"chicharo vs makindu","BEL-1_DERE-I",0.999945529425441,FALSE
"BEL-1_DERE-LTR",18.3826722695876,-0.00872488311704652,0.0981185330494093,-0.0889218667043559,0.929144005272602,0.999945529425441,"chicharo vs makindu","BEL-1_DERE-LTR",0.999945529425441,FALSE
"BEL-1_DEU-I",13.4014989572941,0.0134753272583378,0.103225677761844,0.13054239556002,0.896137314289017,0.999945529425441,"chicharo vs makindu","BEL-1_DEU-I",0.999945529425441,FALSE
"BEL-1_DFI-I",32.4158524400708,3.57318712630153e-05,0.108271816964979,0.000330020057524046,0.999736682096126,0.999945529425441,"chicharo vs makindu","BEL-1_DFI-I",0.999945529425441,FALSE
"BEL-1_DGRI-I",10.1233690591309,-0.00443109876035302,0.100882895794772,-0.0439231915920345,0.964965628920709,0.999945529425441,"chicharo vs makindu","BEL-1_DGRI-I",0.999945529425441,FALSE
"BEL-1_DKI-I",17.7032230907522,-0.00277338204060484,0.104794813750997,-0.0264648787600757,0.978886546470524,0.999945529425441,"chicharo vs makindu","BEL-1_DKI-I",0.999945529425441,FALSE
"BEL-1_DPER-I",112.980291878476,0.0188336493585323,0.106668615962531,0.176562236123396,0.8598522591825,0.999945529425441,"chicharo vs makindu","BEL-1_DPER-I",0.999945529425441,FALSE
"BEL-1_DPER-LTR",0.225209292514103,0.00409939508565941,0.0338956938919664,0.120941471171092,0.903737393994461,0.999945529425441,"chicharo vs makindu","BEL-1_DPER-LTR",0.999945529425441,FALSE
